Drug Name,Current Indication,Possible Repurposed Use,Repurposing Score (%),Molecular Formula,Mechanism of Action,Side Effects,Approval Year,Generic Name,Brand Name,Side Effect Prediction (AI/ML),Pharmacokinetics (ADME),Clinical Trial Data,Preclinical Studies,Pathway Analysis,Dosage Forms,Recommended Dosage,Marketed By,Half-Life (t½) (hours),AI Predicted Repurposing Potential,AI-Based Drug-Drug Interaction Risk,Bioavailability,Absorption Rate,Metabolism Type,AI-Powered Personalized Medicine Suitability
Atorvastatin,Gastric Ulcer,Liver Disease,56.97,C9H8O4,AMPK Activator,Acid Reflux,1971,Omeprazole,Advil,Low Risk,Liver Metabolism,Phase 3,Toxicology Report,Serotonin Pathway,Topical Gel,500mg twice a day,Novartis,12,Low,Low Risk,High (>80%),Slow,Liver,Partially Suitable
Omeprazole,Blood Thinner,Liver Disease,90.55,C17H19N3O3S,NSAID,Muscle Pain,1965,Acetylsalicylic Acid,Aspirin,Moderate Risk,Liver Metabolism,Phase 1,Animal Testing,Serotonin Pathway,Injection,10mg once daily,Novartis,24,Low,Moderate Risk,High (>80%),Moderate,Renal,Not Suitable
Losartan,Diabetes,Migraine Treatment,57.19,C33H35FN2O5,NSAID,Gastrointestinal Issues,1971,Acetylsalicylic Acid,Advil,High Risk,High Bioavailability,Ongoing,Toxicology Report,Dopaminergic Pathway,Syrup,50mg daily,Pfizer,24,High,Moderate Risk,Low (<50%),Fast,Renal,Partially Suitable
Paracetamol,Cholesterol Control,Antiviral,37.94,C4H11N5,COX Inhibitor,"Headache, Rash",1996,Omeprazole,Glucophage,Low Risk,High Bioavailability,Phase 4,No Preclinical Data,MAPK Pathway,Capsule,500mg twice a day,Merck,12,Moderate,High Risk,Low (<50%),Fast,Liver,Suitable
Ranitidine,Hypertension,Antiviral,40.38,C33H35FN2O5,NSAID,"Nausea, Dizziness",1996,Ibuprofen,Lipitor,Low Risk,Slow Metabolism,Phase 1,Toxicology Report,Immune Response Pathway,Tablet,10mg once daily,Roche,6,Low,Low Risk,High (>80%),Moderate,Enzyme-Specific,Not Suitable
Simvastatin,Diabetes,Liver Disease,67,C33H35FN2O5,NSAID,Muscle Pain,1994,Ibuprofen,Glucophage,High Risk,Liver Metabolism,Completed,In Vitro Studies,Immune Response Pathway,Syrup,250mg every 8 hours,Roche,12,High,High Risk,High (>80%),Fast,Liver,Suitable
Levothyroxine,Thyroid Hormone Replacement,Anti-Aging,85.64,C13H18O2,COX Inhibitor,Acid Reflux,1994,Ibuprofen,Aspirin,High Risk,Rapid Absorption,Phase 1,Animal Testing,MAPK Pathway,Capsule,500mg twice a day,Merck,2,High,Moderate Risk,Low (<50%),Slow,Liver,Partially Suitable
Aspirin,Hypertension,Cardiovascular Disease,79.03,C17H19N3O3S,AMPK Activator,Muscle Pain,1994,Acetylsalicylic Acid,Prilosec,High Risk,Slow Metabolism,Ongoing,No Preclinical Data,Serotonin Pathway,Capsule,10mg once daily,Roche,48,Low,Moderate Risk,Low (<50%),Fast,Liver,Partially Suitable
Metformin,Acid Reflux,Anti-Aging,40.23,C4H11N5,HMG-CoA Reductase Inhibitor,Acid Reflux,1965,Atorvastatin Calcium,Aspirin,Moderate Risk,Liver Metabolism,Ongoing,Animal Testing,PI3K-AKT Pathway,Capsule,500mg twice a day,Roche,12,Moderate,Low Risk,High (>80%),Moderate,Gut,Suitable
Ibuprofen,Fever,Antiviral,80.58,C9H8O4,HMG-CoA Reductase Inhibitor,"Headache, Rash",1996,Atorvastatin Calcium,Advil,Low Risk,Rapid Absorption,Phase 2,In Vitro Studies,MAPK Pathway,Topical Gel,50mg daily,Pfizer,24,Moderate,High Risk,High (>80%),Moderate,Liver,Partially Suitable
Atorvastatin,Hypertension,Weight Loss,78.43,C13H18O2,AMPK Activator,"Nausea, Dizziness",1971,Metformin Hydrochloride,Advil,High Risk,Renal Excretion,Phase 4,Toxicology Report,Immune Response Pathway,Syrup,500mg twice a day,Novartis,12,Moderate,High Risk,Moderate (50-80%),Slow,Enzyme-Specific,Not Suitable
Omeprazole,Thyroid Hormone Replacement,Cancer Therapy,77.09,C33H35FN2O5,COX Inhibitor,Gastrointestinal Issues,1971,Acetylsalicylic Acid,Prilosec,Low Risk,High Bioavailability,Completed,In Vitro Studies,Dopaminergic Pathway,Tablet,50mg daily,Merck,2,Low,High Risk,Low (<50%),Fast,Gut,Partially Suitable
Losartan,Gastric Ulcer,Cardiovascular Disease,69.75,C17H19N3O3S,AMPK Activator,"Headache, Rash",1965,Acetylsalicylic Acid,Advil,Moderate Risk,Renal Excretion,Phase 1,Animal Testing,Serotonin Pathway,Topical Gel,50mg daily,Roche,2,Moderate,Low Risk,Low (<50%),Moderate,Enzyme-Specific,Suitable
Paracetamol,Diabetes,Anti-Aging,84.37,C4H11N5,AMPK Activator,"Nausea, Dizziness",1996,Metformin Hydrochloride,Aspirin,Moderate Risk,Slow Metabolism,Ongoing,In Vitro Studies,Serotonin Pathway,Injection,500mg twice a day,Novartis,2,Moderate,Moderate Risk,Moderate (50-80%),Fast,Liver,Suitable
Ranitidine,Hypertension,Alzheimer's,47.31,C4H11N5,COX Inhibitor,Acid Reflux,1965,Ibuprofen,Lipitor,High Risk,Rapid Absorption,Phase 1,Animal Testing,PI3K-AKT Pathway,Syrup,250mg every 8 hours,Roche,24,Low,Moderate Risk,Moderate (50-80%),Moderate,Enzyme-Specific,Suitable
Simvastatin,Thyroid Hormone Replacement,Cardiovascular Disease,86.39,C17H19N3O3S,COX Inhibitor,Acid Reflux,1971,Omeprazole,Aspirin,High Risk,Rapid Absorption,Phase 3,Animal Testing,PI3K-AKT Pathway,Capsule,500mg twice a day,AstraZeneca,6,High,Moderate Risk,Moderate (50-80%),Slow,Renal,Not Suitable
Levothyroxine,Diabetes,Autoimmune Disorders,65.77,C33H35FN2O5,Proton Pump Inhibitor,Acid Reflux,1965,Atorvastatin Calcium,Advil,High Risk,Renal Excretion,Phase 1,No Preclinical Data,PI3K-AKT Pathway,Topical Gel,As prescribed,Roche,48,Low,High Risk,Moderate (50-80%),Moderate,Enzyme-Specific,Partially Suitable
Aspirin,Blood Thinner,Migraine Treatment,45,C17H19N3O3S,AMPK Activator,Gastrointestinal Issues,1987,Acetylsalicylic Acid,Glucophage,Moderate Risk,Slow Metabolism,Phase 1,Animal Testing,MAPK Pathway,Tablet,As prescribed,Pfizer,12,Moderate,High Risk,High (>80%),Slow,Renal,Not Suitable
Metformin,Cholesterol Control,Migraine Treatment,58.4,C4H11N5,COX Inhibitor,"Nausea, Dizziness",1994,Acetylsalicylic Acid,Advil,Moderate Risk,Slow Metabolism,Phase 3,Animal Testing,PI3K-AKT Pathway,Topical Gel,As prescribed,Novartis,2,High,Low Risk,High (>80%),Moderate,Enzyme-Specific,Suitable
Ibuprofen,Fever,Autoimmune Disorders,36.13,C9H8O4,AMPK Activator,"Headache, Rash",1965,Metformin Hydrochloride,Glucophage,Moderate Risk,Renal Excretion,Phase 3,Toxicology Report,PI3K-AKT Pathway,Capsule,10mg once daily,AstraZeneca,24,Low,Moderate Risk,Low (<50%),Slow,Enzyme-Specific,Not Suitable
Atorvastatin,Blood Thinner,Cardiovascular Disease,80.14,C33H35FN2O5,HMG-CoA Reductase Inhibitor,Gastrointestinal Issues,1996,Ibuprofen,Glucophage,Moderate Risk,High Bioavailability,Phase 4,Toxicology Report,Dopaminergic Pathway,Capsule,250mg every 8 hours,Roche,6,Moderate,Low Risk,High (>80%),Slow,Liver,Partially Suitable
Omeprazole,Inflammation,Anti-Aging,67.72,C33H35FN2O5,COX Inhibitor,"Headache, Rash",1965,Metformin Hydrochloride,Advil,Moderate Risk,High Bioavailability,Completed,Toxicology Report,Immune Response Pathway,Topical Gel,50mg daily,AstraZeneca,6,Moderate,Moderate Risk,High (>80%),Moderate,Gut,Not Suitable
Losartan,Hypertension,Migraine Treatment,41.97,C33H35FN2O5,AMPK Activator,"Nausea, Dizziness",1994,Acetylsalicylic Acid,Aspirin,Low Risk,High Bioavailability,Phase 1,In Vitro Studies,PI3K-AKT Pathway,Topical Gel,10mg once daily,Roche,2,High,High Risk,Moderate (50-80%),Slow,Liver,Partially Suitable
Paracetamol,Gastric Ulcer,Antiviral,84.57,C13H18O2,Proton Pump Inhibitor,Gastrointestinal Issues,1965,Atorvastatin Calcium,Prilosec,Low Risk,Slow Metabolism,Phase 1,Toxicology Report,PI3K-AKT Pathway,Topical Gel,50mg daily,Roche,2,Moderate,Moderate Risk,Moderate (50-80%),Fast,Liver,Partially Suitable
Ranitidine,Thyroid Hormone Replacement,Alzheimer's,72.55,C17H19N3O3S,COX Inhibitor,"Nausea, Dizziness",1996,Ibuprofen,Advil,Low Risk,Liver Metabolism,Phase 1,Toxicology Report,Immune Response Pathway,Topical Gel,As prescribed,AstraZeneca,2,Low,High Risk,Moderate (50-80%),Moderate,Liver,Partially Suitable
Simvastatin,Thyroid Hormone Replacement,Cancer Therapy,42.52,C17H19N3O3S,AMPK Activator,Acid Reflux,1965,Omeprazole,Prilosec,Low Risk,Liver Metabolism,Phase 3,No Preclinical Data,Serotonin Pathway,Tablet,250mg every 8 hours,Roche,6,High,Moderate Risk,Low (<50%),Slow,Liver,Partially Suitable
Levothyroxine,Thyroid Hormone Replacement,Alzheimer's,32.36,C33H35FN2O5,COX Inhibitor,Gastrointestinal Issues,1994,Atorvastatin Calcium,Lipitor,High Risk,Renal Excretion,Phase 3,Toxicology Report,Immune Response Pathway,Tablet,500mg twice a day,Roche,12,Moderate,Moderate Risk,High (>80%),Moderate,Enzyme-Specific,Partially Suitable
Aspirin,Gastric Ulcer,Alzheimer's,83.19,C13H18O2,Proton Pump Inhibitor,Muscle Pain,1987,Acetylsalicylic Acid,Aspirin,Low Risk,Slow Metabolism,Completed,No Preclinical Data,MAPK Pathway,Topical Gel,50mg daily,Pfizer,24,High,Low Risk,High (>80%),Fast,Liver,Suitable
Metformin,Gastric Ulcer,Weight Loss,81.69,C17H19N3O3S,Proton Pump Inhibitor,Gastrointestinal Issues,1996,Metformin Hydrochloride,Aspirin,High Risk,Rapid Absorption,Completed,In Vitro Studies,MAPK Pathway,Tablet,As prescribed,Novartis,12,Low,Moderate Risk,High (>80%),Moderate,Renal,Suitable
Ibuprofen,Fever,Cancer Therapy,42.96,C9H8O4,Proton Pump Inhibitor,Acid Reflux,1965,Ibuprofen,Aspirin,Moderate Risk,Slow Metabolism,Phase 4,No Preclinical Data,MAPK Pathway,Syrup,As prescribed,AstraZeneca,6,Low,Low Risk,High (>80%),Fast,Gut,Partially Suitable
Atorvastatin,Fever,Autoimmune Disorders,41.57,C9H8O4,COX Inhibitor,Muscle Pain,1971,Ibuprofen,Glucophage,Low Risk,Liver Metabolism,Phase 1,Toxicology Report,Serotonin Pathway,Syrup,250mg every 8 hours,Novartis,24,High,Moderate Risk,Low (<50%),Fast,Enzyme-Specific,Suitable
Omeprazole,Cholesterol Control,Anti-Aging,49.38,C17H19N3O3S,AMPK Activator,"Nausea, Dizziness",1996,Acetylsalicylic Acid,Lipitor,High Risk,Liver Metabolism,Phase 3,Toxicology Report,Dopaminergic Pathway,Topical Gel,10mg once daily,Roche,24,Moderate,Moderate Risk,High (>80%),Slow,Renal,Suitable
Losartan,Acid Reflux,Liver Disease,40.69,C4H11N5,NSAID,Gastrointestinal Issues,1994,Acetylsalicylic Acid,Aspirin,Low Risk,Slow Metabolism,Phase 3,Animal Testing,Immune Response Pathway,Syrup,10mg once daily,Pfizer,12,Moderate,Moderate Risk,Moderate (50-80%),Fast,Enzyme-Specific,Not Suitable
Paracetamol,Fever,Antiviral,51.68,C13H18O2,COX Inhibitor,Muscle Pain,1987,Ibuprofen,Prilosec,Low Risk,Liver Metabolism,Phase 4,Animal Testing,Dopaminergic Pathway,Injection,10mg once daily,Novartis,24,High,Moderate Risk,Low (<50%),Moderate,Renal,Not Suitable
Ranitidine,Cholesterol Control,Antiviral,88.98,C4H11N5,AMPK Activator,"Headache, Rash",1994,Acetylsalicylic Acid,Prilosec,High Risk,Liver Metabolism,Ongoing,Animal Testing,MAPK Pathway,Tablet,50mg daily,Pfizer,6,Moderate,Low Risk,High (>80%),Slow,Liver,Not Suitable
Simvastatin,Cholesterol Control,Alzheimer's,51.15,C4H11N5,HMG-CoA Reductase Inhibitor,Gastrointestinal Issues,1996,Acetylsalicylic Acid,Glucophage,Moderate Risk,Renal Excretion,Completed,No Preclinical Data,MAPK Pathway,Tablet,As prescribed,AstraZeneca,48,Low,Moderate Risk,Moderate (50-80%),Fast,Enzyme-Specific,Not Suitable
Levothyroxine,Inflammation,Anti-Aging,67.58,C13H18O2,NSAID,"Headache, Rash",1971,Ibuprofen,Prilosec,High Risk,Renal Excretion,Ongoing,In Vitro Studies,Immune Response Pathway,Tablet,250mg every 8 hours,Merck,6,High,Low Risk,High (>80%),Slow,Enzyme-Specific,Not Suitable
Aspirin,Thyroid Hormone Replacement,Liver Disease,71.83,C4H11N5,HMG-CoA Reductase Inhibitor,Muscle Pain,1996,Omeprazole,Glucophage,Low Risk,Slow Metabolism,Ongoing,In Vitro Studies,Immune Response Pathway,Tablet,As prescribed,Novartis,2,Low,Low Risk,Low (<50%),Moderate,Liver,Partially Suitable
Metformin,Diabetes,Weight Loss,76.92,C9H8O4,AMPK Activator,"Nausea, Dizziness",1971,Ibuprofen,Advil,High Risk,Renal Excretion,Phase 4,No Preclinical Data,Serotonin Pathway,Capsule,250mg every 8 hours,AstraZeneca,2,High,Moderate Risk,Low (<50%),Fast,Gut,Partially Suitable
Ibuprofen,Thyroid Hormone Replacement,Migraine Treatment,63.54,C9H8O4,NSAID,"Nausea, Dizziness",1965,Metformin Hydrochloride,Advil,Low Risk,Slow Metabolism,Phase 4,No Preclinical Data,Dopaminergic Pathway,Topical Gel,10mg once daily,Merck,2,High,Low Risk,Low (<50%),Fast,Liver,Not Suitable
Atorvastatin,Diabetes,Cardiovascular Disease,93.97,C9H8O4,COX Inhibitor,Acid Reflux,1994,Ibuprofen,Glucophage,Low Risk,Slow Metabolism,Phase 2,Animal Testing,Dopaminergic Pathway,Syrup,As prescribed,Novartis,2,High,Low Risk,High (>80%),Moderate,Liver,Partially Suitable
Omeprazole,Pain Relief,Anti-Aging,46.12,C33H35FN2O5,Proton Pump Inhibitor,Gastrointestinal Issues,1971,Acetylsalicylic Acid,Lipitor,High Risk,Liver Metabolism,Phase 2,Animal Testing,Immune Response Pathway,Tablet,10mg once daily,Merck,24,Low,Low Risk,Moderate (50-80%),Fast,Gut,Partially Suitable
Losartan,Blood Thinner,Cardiovascular Disease,30.72,C9H8O4,HMG-CoA Reductase Inhibitor,Gastrointestinal Issues,1965,Acetylsalicylic Acid,Prilosec,Low Risk,Liver Metabolism,Phase 4,No Preclinical Data,PI3K-AKT Pathway,Topical Gel,500mg twice a day,AstraZeneca,6,High,Low Risk,Low (<50%),Slow,Renal,Partially Suitable
Paracetamol,Fever,Antiviral,30.8,C9H8O4,Proton Pump Inhibitor,Acid Reflux,1971,Omeprazole,Lipitor,High Risk,Slow Metabolism,Phase 4,In Vitro Studies,MAPK Pathway,Syrup,250mg every 8 hours,Pfizer,12,Moderate,High Risk,High (>80%),Slow,Liver,Not Suitable
Ranitidine,Pain Relief,Autoimmune Disorders,90.67,C33H35FN2O5,AMPK Activator,Muscle Pain,1987,Ibuprofen,Lipitor,Moderate Risk,Rapid Absorption,Phase 3,Toxicology Report,Serotonin Pathway,Topical Gel,10mg once daily,Merck,48,Moderate,Moderate Risk,Moderate (50-80%),Slow,Renal,Suitable
Simvastatin,Thyroid Hormone Replacement,Parkinson's,76.33,C13H18O2,HMG-CoA Reductase Inhibitor,Muscle Pain,1987,Ibuprofen,Advil,Moderate Risk,Renal Excretion,Phase 2,Toxicology Report,Dopaminergic Pathway,Topical Gel,250mg every 8 hours,AstraZeneca,6,Moderate,Moderate Risk,Moderate (50-80%),Slow,Enzyme-Specific,Suitable
Levothyroxine,Hypertension,Liver Disease,32.49,C13H18O2,NSAID,Gastrointestinal Issues,1971,Atorvastatin Calcium,Aspirin,Low Risk,Rapid Absorption,Phase 2,Animal Testing,Immune Response Pathway,Topical Gel,250mg every 8 hours,AstraZeneca,6,Low,High Risk,High (>80%),Slow,Gut,Not Suitable
Aspirin,Gastric Ulcer,Anti-Aging,50.89,C33H35FN2O5,Proton Pump Inhibitor,"Nausea, Dizziness",1987,Acetylsalicylic Acid,Aspirin,Moderate Risk,Slow Metabolism,Phase 4,No Preclinical Data,MAPK Pathway,Tablet,As prescribed,Merck,6,Low,Moderate Risk,Low (<50%),Moderate,Gut,Suitable
Metformin,Gastric Ulcer,Cancer Therapy,67.09,C17H19N3O3S,COX Inhibitor,Gastrointestinal Issues,1971,Omeprazole,Aspirin,High Risk,Liver Metabolism,Phase 3,Animal Testing,MAPK Pathway,Capsule,250mg every 8 hours,Pfizer,6,High,Low Risk,Low (<50%),Slow,Enzyme-Specific,Partially Suitable
Ibuprofen,Thyroid Hormone Replacement,Weight Loss,57.82,C9H8O4,Proton Pump Inhibitor,Acid Reflux,1965,Acetylsalicylic Acid,Prilosec,High Risk,Rapid Absorption,Phase 1,No Preclinical Data,Dopaminergic Pathway,Tablet,250mg every 8 hours,Merck,12,High,High Risk,Moderate (50-80%),Fast,Renal,Not Suitable
Atorvastatin,Cholesterol Control,Migraine Treatment,41.45,C17H19N3O3S,NSAID,Gastrointestinal Issues,1996,Ibuprofen,Advil,Low Risk,Rapid Absorption,Completed,In Vitro Studies,Immune Response Pathway,Capsule,500mg twice a day,Merck,2,Moderate,High Risk,Moderate (50-80%),Slow,Gut,Not Suitable
Omeprazole,Thyroid Hormone Replacement,Liver Disease,87.53,C17H19N3O3S,HMG-CoA Reductase Inhibitor,Acid Reflux,1965,Omeprazole,Prilosec,Moderate Risk,Liver Metabolism,Phase 3,In Vitro Studies,Dopaminergic Pathway,Injection,50mg daily,Roche,24,Low,High Risk,Low (<50%),Moderate,Gut,Partially Suitable
Losartan,Diabetes,Liver Disease,63.95,C17H19N3O3S,HMG-CoA Reductase Inhibitor,"Headache, Rash",1987,Acetylsalicylic Acid,Aspirin,Moderate Risk,Slow Metabolism,Phase 1,Toxicology Report,Immune Response Pathway,Capsule,250mg every 8 hours,Merck,2,High,Low Risk,Moderate (50-80%),Slow,Renal,Not Suitable
Paracetamol,Fever,Anti-Aging,52.48,C17H19N3O3S,NSAID,Gastrointestinal Issues,1996,Atorvastatin Calcium,Lipitor,High Risk,Liver Metabolism,Phase 3,Toxicology Report,MAPK Pathway,Tablet,10mg once daily,Novartis,6,Moderate,Low Risk,High (>80%),Fast,Enzyme-Specific,Not Suitable
Ranitidine,Cholesterol Control,Liver Disease,76.92,C17H19N3O3S,HMG-CoA Reductase Inhibitor,Gastrointestinal Issues,1996,Atorvastatin Calcium,Advil,High Risk,Liver Metabolism,Phase 3,Toxicology Report,PI3K-AKT Pathway,Syrup,50mg daily,Merck,48,High,High Risk,Low (<50%),Fast,Gut,Suitable
Simvastatin,Hypertension,Migraine Treatment,87.1,C33H35FN2O5,NSAID,Acid Reflux,1987,Omeprazole,Lipitor,Moderate Risk,Slow Metabolism,Phase 1,Toxicology Report,Serotonin Pathway,Topical Gel,As prescribed,Merck,6,Low,High Risk,High (>80%),Slow,Enzyme-Specific,Partially Suitable
Levothyroxine,Hypertension,Cancer Therapy,33.28,C4H11N5,COX Inhibitor,Gastrointestinal Issues,1994,Atorvastatin Calcium,Glucophage,High Risk,Rapid Absorption,Ongoing,Animal Testing,Dopaminergic Pathway,Capsule,As prescribed,AstraZeneca,2,Low,High Risk,Moderate (50-80%),Moderate,Renal,Suitable
Aspirin,Blood Thinner,Parkinson's,44.14,C4H11N5,COX Inhibitor,"Headache, Rash",1994,Acetylsalicylic Acid,Aspirin,High Risk,Renal Excretion,Phase 2,Animal Testing,PI3K-AKT Pathway,Capsule,500mg twice a day,Merck,12,Moderate,Low Risk,Moderate (50-80%),Fast,Enzyme-Specific,Not Suitable
Metformin,Acid Reflux,Alzheimer's,64.8,C13H18O2,Proton Pump Inhibitor,Muscle Pain,1994,Metformin Hydrochloride,Lipitor,Low Risk,Renal Excretion,Phase 2,No Preclinical Data,Dopaminergic Pathway,Capsule,As prescribed,Merck,12,Moderate,High Risk,Low (<50%),Slow,Liver,Suitable
Ibuprofen,Pain Relief,Autoimmune Disorders,83.5,C17H19N3O3S,COX Inhibitor,"Nausea, Dizziness",1987,Ibuprofen,Glucophage,Low Risk,Slow Metabolism,Ongoing,Animal Testing,Immune Response Pathway,Injection,As prescribed,Roche,12,Moderate,High Risk,High (>80%),Slow,Liver,Partially Suitable
Atorvastatin,Diabetes,Migraine Treatment,66.21,C9H8O4,AMPK Activator,"Nausea, Dizziness",1965,Metformin Hydrochloride,Aspirin,High Risk,Rapid Absorption,Phase 2,Toxicology Report,Serotonin Pathway,Injection,500mg twice a day,Pfizer,12,High,Moderate Risk,Moderate (50-80%),Moderate,Enzyme-Specific,Partially Suitable
Omeprazole,Diabetes,Cancer Therapy,83.41,C9H8O4,COX Inhibitor,Acid Reflux,1994,Ibuprofen,Prilosec,Moderate Risk,Renal Excretion,Ongoing,In Vitro Studies,Serotonin Pathway,Topical Gel,10mg once daily,Novartis,24,High,High Risk,Moderate (50-80%),Slow,Enzyme-Specific,Not Suitable
Losartan,Fever,Alzheimer's,46.41,C33H35FN2O5,Proton Pump Inhibitor,"Headache, Rash",1971,Omeprazole,Lipitor,Moderate Risk,Renal Excretion,Phase 2,Animal Testing,Serotonin Pathway,Syrup,As prescribed,Pfizer,24,Low,Moderate Risk,High (>80%),Slow,Gut,Partially Suitable
Paracetamol,Inflammation,Anti-Aging,52.33,C4H11N5,NSAID,Acid Reflux,1965,Atorvastatin Calcium,Lipitor,High Risk,Liver Metabolism,Ongoing,No Preclinical Data,PI3K-AKT Pathway,Topical Gel,250mg every 8 hours,Merck,2,High,Moderate Risk,High (>80%),Fast,Gut,Suitable
Ranitidine,Hypertension,Parkinson's,84.39,C17H19N3O3S,AMPK Activator,Gastrointestinal Issues,1994,Omeprazole,Prilosec,Low Risk,Slow Metabolism,Ongoing,Toxicology Report,PI3K-AKT Pathway,Injection,As prescribed,Roche,48,High,Moderate Risk,Low (<50%),Fast,Enzyme-Specific,Not Suitable
Simvastatin,Pain Relief,Migraine Treatment,57.81,C9H8O4,NSAID,"Nausea, Dizziness",1971,Ibuprofen,Advil,High Risk,Liver Metabolism,Phase 3,Toxicology Report,Serotonin Pathway,Tablet,250mg every 8 hours,AstraZeneca,6,High,High Risk,High (>80%),Moderate,Liver,Suitable
Levothyroxine,Diabetes,Liver Disease,87.49,C33H35FN2O5,AMPK Activator,Gastrointestinal Issues,1996,Omeprazole,Advil,High Risk,Liver Metabolism,Phase 3,Toxicology Report,MAPK Pathway,Topical Gel,10mg once daily,Roche,12,Low,Low Risk,Moderate (50-80%),Moderate,Enzyme-Specific,Not Suitable
Aspirin,Acid Reflux,Weight Loss,87,C4H11N5,HMG-CoA Reductase Inhibitor,Acid Reflux,1965,Ibuprofen,Prilosec,Moderate Risk,Slow Metabolism,Completed,Toxicology Report,Dopaminergic Pathway,Syrup,10mg once daily,Novartis,24,High,High Risk,Moderate (50-80%),Slow,Gut,Partially Suitable
Metformin,Fever,Alzheimer's,40.64,C4H11N5,Proton Pump Inhibitor,"Nausea, Dizziness",1994,Atorvastatin Calcium,Glucophage,Low Risk,Renal Excretion,Phase 3,In Vitro Studies,Immune Response Pathway,Capsule,50mg daily,Roche,2,Moderate,Low Risk,High (>80%),Slow,Gut,Partially Suitable
Ibuprofen,Thyroid Hormone Replacement,Weight Loss,57.31,C4H11N5,HMG-CoA Reductase Inhibitor,Acid Reflux,1996,Metformin Hydrochloride,Prilosec,Low Risk,Renal Excretion,Phase 3,Toxicology Report,Dopaminergic Pathway,Topical Gel,50mg daily,Roche,24,Moderate,Low Risk,Low (<50%),Moderate,Renal,Not Suitable
Atorvastatin,Gastric Ulcer,Weight Loss,53.35,C4H11N5,Proton Pump Inhibitor,Gastrointestinal Issues,1965,Acetylsalicylic Acid,Lipitor,Low Risk,High Bioavailability,Phase 3,In Vitro Studies,Serotonin Pathway,Tablet,250mg every 8 hours,Novartis,12,High,High Risk,Moderate (50-80%),Fast,Liver,Not Suitable
Omeprazole,Inflammation,Cancer Therapy,58.33,C9H8O4,AMPK Activator,Muscle Pain,1987,Acetylsalicylic Acid,Prilosec,Low Risk,Renal Excretion,Phase 2,Animal Testing,MAPK Pathway,Syrup,10mg once daily,Pfizer,12,Low,Moderate Risk,High (>80%),Moderate,Enzyme-Specific,Partially Suitable
Losartan,Blood Thinner,Anti-Aging,83.54,C13H18O2,NSAID,Acid Reflux,1996,Metformin Hydrochloride,Advil,Low Risk,Slow Metabolism,Phase 3,Toxicology Report,Dopaminergic Pathway,Syrup,As prescribed,Merck,24,Low,High Risk,Moderate (50-80%),Fast,Renal,Suitable
Paracetamol,Acid Reflux,Parkinson's,75.69,C4H11N5,Proton Pump Inhibitor,Muscle Pain,1994,Metformin Hydrochloride,Glucophage,High Risk,Liver Metabolism,Phase 3,Toxicology Report,PI3K-AKT Pathway,Injection,As prescribed,Roche,24,Moderate,Moderate Risk,High (>80%),Slow,Gut,Not Suitable
Ranitidine,Cholesterol Control,Migraine Treatment,82.44,C17H19N3O3S,NSAID,"Nausea, Dizziness",1994,Metformin Hydrochloride,Glucophage,High Risk,Renal Excretion,Completed,Animal Testing,Immune Response Pathway,Syrup,500mg twice a day,Novartis,24,Low,Moderate Risk,High (>80%),Fast,Enzyme-Specific,Partially Suitable
Simvastatin,Acid Reflux,Liver Disease,90.82,C13H18O2,COX Inhibitor,Gastrointestinal Issues,1996,Metformin Hydrochloride,Prilosec,High Risk,Rapid Absorption,Phase 2,Toxicology Report,Immune Response Pathway,Syrup,500mg twice a day,Novartis,6,Moderate,Moderate Risk,Moderate (50-80%),Slow,Enzyme-Specific,Partially Suitable
Levothyroxine,Blood Thinner,Liver Disease,80.72,C17H19N3O3S,COX Inhibitor,Acid Reflux,1996,Acetylsalicylic Acid,Advil,Moderate Risk,Rapid Absorption,Ongoing,Toxicology Report,Immune Response Pathway,Capsule,As prescribed,Merck,6,Moderate,Low Risk,Moderate (50-80%),Slow,Renal,Partially Suitable
Aspirin,Thyroid Hormone Replacement,Autoimmune Disorders,65.49,C4H11N5,HMG-CoA Reductase Inhibitor,"Nausea, Dizziness",1965,Ibuprofen,Glucophage,High Risk,Liver Metabolism,Phase 1,Animal Testing,PI3K-AKT Pathway,Tablet,10mg once daily,Roche,48,Low,High Risk,Low (<50%),Slow,Enzyme-Specific,Not Suitable
Metformin,Inflammation,Anti-Aging,93.19,C33H35FN2O5,HMG-CoA Reductase Inhibitor,Gastrointestinal Issues,1965,Metformin Hydrochloride,Glucophage,Low Risk,Slow Metabolism,Completed,Toxicology Report,Immune Response Pathway,Injection,As prescribed,Merck,12,Low,High Risk,High (>80%),Moderate,Liver,Partially Suitable
Ibuprofen,Fever,Alzheimer's,61,C33H35FN2O5,Proton Pump Inhibitor,"Nausea, Dizziness",1965,Acetylsalicylic Acid,Aspirin,Moderate Risk,High Bioavailability,Phase 1,No Preclinical Data,Dopaminergic Pathway,Capsule,250mg every 8 hours,Novartis,2,Moderate,Moderate Risk,Moderate (50-80%),Slow,Liver,Not Suitable
Atorvastatin,Thyroid Hormone Replacement,Liver Disease,83.36,C4H11N5,Proton Pump Inhibitor,"Nausea, Dizziness",1965,Omeprazole,Aspirin,Low Risk,High Bioavailability,Completed,In Vitro Studies,Dopaminergic Pathway,Injection,As prescribed,Novartis,12,High,Low Risk,Low (<50%),Fast,Liver,Not Suitable
